id,program,title,link,upvotes,bounty,vuln_type,date
110,HackerOne,Login page password-guessing attack,hackerone.com/reports/110,22,0.0,,2014-01-16
120,HackerOne,Missing SPF for hackerone.com,hackerone.com/reports/120,48,0.0,Violation of Secure Design Principles,2014-01-09
263,HackerOne,Report title autocompletion,hackerone.com/reports/263,8,0.0,Information Disclosure,2015-06-08
275,HackerOne,Flawed account creation process allows registration of usernames corresponding to existing file names,hackerone.com/reports/275,15,0.0,,2015-06-08
280,HackerOne,Real impersonation,hackerone.com/reports/280,48,0.0,,2013-11-30
284,HackerOne,Broken Authentication and session management OWASP A2,hackerone.com/reports/284,35,0.0,Improper Authentication - Generic,2014-01-09
288,HackerOne,Session Management,hackerone.com/reports/288,14,0.0,,2014-04-19
298,HackerOne,RTL override symbol not stripped from file names,hackerone.com/reports/298,11,0.0,Violation of Secure Design Principles,2015-05-28
321,HackerOne,CSP not consistently applied,hackerone.com/reports/321,34,0.0,Cross-site Scripting (XSS) - Generic,2013-11-30
345,HackerOne,"Privilege escalation..., or not?!",hackerone.com/reports/345,11,0.0,Violation of Secure Design Principles,2015-06-08
353,HackerOne,Session not expired on logout,hackerone.com/reports/353,22,100.0,,2014-04-19
390,HackerOne,Pixel flood attack,hackerone.com/reports/390,66,500.0,Uncontrolled Resource Consumption,2013-11-30
400,HackerOne,GIF flooding,hackerone.com/reports/400,51,250.0,Uncontrolled Resource Consumption,2013-11-30
454,HackerOne,PNG compression DoS,hackerone.com/reports/454,18,500.0,Uncontrolled Resource Consumption,2015-05-28
477,HackerOne,Flawed account creation process allows registration of usernames corresponding to existing file names,hackerone.com/reports/477,11,100.0,,2014-04-19
487,HackerOne,DNS Cache Poisoning,hackerone.com/reports/487,41,100.0,,2014-01-09
499,Ruby,Ruby: Heap Overflow in Floating Point Parsing,hackerone.com/reports/499,26,0.0,,2013-11-22
500,Internet Bug Bounty,OpenSSH: Memory corruption in AES-GCM support,hackerone.com/reports/500,23,0.0,,2013-11-07
501,Internet Bug Bounty,TLS Virtual Host Confusion,hackerone.com/reports/501,23,0.0,,2014-11-10
523,Internet Bug Bounty,PHP openssl_x509_parse() Memory Corruption Vulnerability,hackerone.com/reports/523,16,0.0,Code Injection,2013-12-13
546,HackerOne,Logical issues with account settings,hackerone.com/reports/546,15,0.0,Violation of Secure Design Principles,2015-05-28
547,HackerOne,CSRF login,hackerone.com/reports/547,24,0.0,Cross-Site Request Forgery (CSRF),2014-01-13
575,HackerOne,Email spoofing ,hackerone.com/reports/575,28,0.0,Violation of Secure Design Principles,2015-05-28
713,HackerOne,Upload profile photo from URL,hackerone.com/reports/713,43,0.0,Server-Side Request Forgery (SSRF),2014-02-15
727,HackerOne,Switching the user to the attacker's account,hackerone.com/reports/727,27,150.0,Cross-Site Request Forgery (CSRF),2014-02-20
737,HackerOne,Improper session management,hackerone.com/reports/737,24,100.0,Improper Authentication - Generic,2014-02-19
738,HackerOne,Information disclosure (reset password token) and changing the user's password,hackerone.com/reports/738,24,100.0,Cross-Site Request Forgery (CSRF),2014-02-19
742,HackerOne,A password reset page does not properly validate the authenticity token at the server side.,hackerone.com/reports/742,10,100.0,Cross-Site Request Forgery (CSRF),2014-04-19
761,HackerOne,Enumeration of users,hackerone.com/reports/761,20,0.0,Violation of Secure Design Principles,2014-10-03
774,Phabricator,Log in a user to another account,hackerone.com/reports/774,21,300.0,Cross-Site Request Forgery (CSRF),2014-02-22
809,Phabricator,Improperly implemented password recovery link functionality,hackerone.com/reports/809,14,300.0,Improper Authentication - Generic,2014-02-27
842,HackerOne,Autocomplete enabled in Paypal preferences,hackerone.com/reports/842,8,0.0,Violation of Secure Design Principles,2015-05-28
1093,HackerOne,LinkedIN URL should be HTTPS,hackerone.com/reports/1093,10,0.0,,2016-05-18
1356,Internet Bug Bounty,PHP Heap Overflow Vulnerability in imagecrop(),hackerone.com/reports/1356,8,0.0,,2014-02-06
1409,Factlink,Proxy discloses internal web servers,hackerone.com/reports/1409,10,0.0,Information Disclosure,2014-04-08
1425,Secret,SSL Not Enforced,hackerone.com/reports/1425,7,0.0,,2014-03-16
1498,Secret,Strict Transport Security on secret.ly,hackerone.com/reports/1498,3,0.0,,2014-04-22
1509,HackerOne,DNS Misconfiguration,hackerone.com/reports/1509,19,0.0,,2014-02-15
2106,Internet Bug Bounty,Flash type confusion vulnerability leads to code execution,hackerone.com/reports/2106,8,0.0,,2013-12-10
2107,Internet Bug Bounty,Handling of jar: URIs bypasses AllowScriptAccess=never,hackerone.com/reports/2107,6,2000.0,,2014-01-14
2140,Internet Bug Bounty,Flash local-with-fileaccess Sandbox Bypass,hackerone.com/reports/2140,6,0.0,Information Disclosure,2014-04-17
2170,Internet Bug Bounty,Flash double free vulnerability leads to code execution,hackerone.com/reports/2170,5,0.0,Memory Corruption - Generic,2014-02-27
2193,HackerOne,harvesting attack on user registration,hackerone.com/reports/2193,6,0.0,,2014-05-19
2221,HackerOne,CSS leaks SCSS debug info,hackerone.com/reports/2221,13,0.0,Information Disclosure,2014-02-28
2224,Phabricator,Bypass auth.email-domains,hackerone.com/reports/2224,15,1000.0,Improper Authentication - Generic,2014-03-25
2228,Phabricator,Login CSRF using Twitter OAuth,hackerone.com/reports/2228,14,0.0,Cross-Site Request Forgery (CSRF),2014-03-26
2233,Phabricator,Bypass auth.email-domains (2),hackerone.com/reports/2233,13,500.0,Improper Authentication - Generic,2014-03-26
2293,Internet Bug Bounty,Widespread failure of certificate validation in Android apps,hackerone.com/reports/2293,5,0.0,Cryptographic Issues - Generic,2019-11-12
2414,RelateIQ,open redirect,hackerone.com/reports/2414,1,0.0,Open Redirect,2014-05-19
2421,RelateIQ,Value of JSESSIONID  and XSRF token parameter in cookie remains same before and after login,hackerone.com/reports/2421,5,0.0,Violation of Secure Design Principles,2014-05-14
2427,RelateIQ,XSRF token problem,hackerone.com/reports/2427,1,0.0,Violation of Secure Design Principles,2014-04-20
2429,HackerOne,Hackerone Email Addresses Enumeration,hackerone.com/reports/2429,24,0.0,Information Disclosure,2016-06-17
2439,RelateIQ,Cross Site Scripting (XSS) - app.relateiq.com,hackerone.com/reports/2439,5,0.0,Cross-site Scripting (XSS) - Generic,2014-08-07
2497,Slack,Reflective XSS can be triggered in IE,hackerone.com/reports/2497,4,150.0,Cross-site Scripting (XSS) - Generic,2015-03-15
2559,Slack,Broken Authentication (including Slack OAuth bugs),hackerone.com/reports/2559,8,0.0,Violation of Secure Design Principles,2014-08-30
2575,Slack,"Slack OAuth2 ""redirect_uri"" Bypass ",hackerone.com/reports/2575,10,0.0,Improper Authentication - Generic,2014-05-29
